date,steps
"05-03-2017  07:35:00 PM","0"
"05-03-2017  07:40:00 PM","0"
"05-03-2017  07:45:00 PM","0"
"05-03-2017  07:50:00 PM","0"
"05-03-2017  07:55:00 PM","0"
"05-03-2017  08:00:00 PM","0"
"05-03-2017  08:05:00 PM","0"
"05-03-2017  08:10:00 PM","0"
"05-03-2017  08:15:00 PM","0"
"05-03-2017  08:20:00 PM","0"
"05-03-2017  08:25:00 PM","0"
"05-03-2017  08:30:00 PM","0"
"05-03-2017  08:35:00 PM","0"
"05-03-2017  08:40:00 PM","0"
"05-03-2017  08:45:00 PM","0"
"05-03-2017  08:50:00 PM","0"
"05-03-2017  08:55:00 PM","0"
"05-03-2017  09:00:00 PM","0"
"05-03-2017  09:05:00 PM","0"
"05-03-2017  09:10:00 PM","0"
"05-03-2017  09:15:00 PM","0"
"05-03-2017  09:20:00 PM","0"
"05-03-2017  09:25:00 PM","0"
"05-03-2017  09:30:00 PM","0"
"05-03-2017  09:35:00 PM","0"
"05-03-2017  09:40:00 PM","0"
"05-03-2017  09:45:00 PM","0"
"05-03-2017  09:50:00 PM","0"
"05-03-2017  09:55:00 PM","0"
"05-03-2017  10:00:00 PM","0"
"05-03-2017  10:05:00 PM","0"
"05-03-2017  10:10:00 PM","0"
"05-03-2017  10:15:00 PM","0"
"05-03-2017  10:20:00 PM","0"
"05-03-2017  10:25:00 PM","0"
"05-03-2017  10:30:00 PM","0"
"05-03-2017  10:35:00 PM","0"
"05-03-2017  10:40:00 PM","0"
"05-03-2017  10:45:00 PM","0"
"05-03-2017  10:50:00 PM","0"
"05-03-2017  10:55:00 PM","0"
"05-03-2017  11:00:00 PM","0"
"05-03-2017  11:05:00 PM","0"
"05-03-2017  11:10:00 PM","0"
"05-03-2017  11:15:00 PM","0"
"05-03-2017  11:20:00 PM","0"
"05-03-2017  11:25:00 PM","0"
"05-03-2017  11:30:00 PM","0"
"05-03-2017  11:35:00 PM","0"
"05-03-2017  11:40:00 PM","0"
"05-03-2017  11:45:00 PM","0"
"05-03-2017  11:50:00 PM","0"
"05-03-2017  11:55:00 PM","0"
